date,state,district,pincode,demo_age_5_17,demo_age_17_
01-09-2025,Uttarakhand,Almora,263601,0,8
01-09-2025,Uttarakhand,Almora,263636,0,2
01-09-2025,Uttarakhand,Almora,263645,1,4
01-09-2025,Uttarakhand,Almora,263646,0,4
01-09-2025,Uttarakhand,Almora,263665,0,2
01-09-2025,Uttarakhand,Almora,263676,0,3
01-09-2025,Uttarakhand,Bageshwar,263632,0,2
01-09-2025,Uttarakhand,Bageshwar,263634,1,4
01-09-2025,Uttarakhand,Chamoli,246426,0,1
01-09-2025,Uttarakhand,Chamoli,246440,0,3
01-09-2025,Uttarakhand,Chamoli,246443,2,5
01-09-2025,Uttarakhand,Chamoli,246449,1,2
01-09-2025,Uttarakhand,Chamoli,246473,1,4
01-09-2025,Uttarakhand,Dehradun,248001,7,92
01-09-2025,Uttarakhand,Dehradun,248005,0,9
01-09-2025,Uttarakhand,Dehradun,248008,1,17
01-09-2025,Uttarakhand,Dehradun,248121,0,5
01-09-2025,Uttarakhand,Dehradun,248125,0,11
01-09-2025,Uttarakhand,Dehradun,248140,3,15
01-09-2025,Uttarakhand,Dehradun,248143,0,1
01-09-2025,Uttarakhand,Dehradun,248196,1,4
01-09-2025,Uttarakhand,Dehradun,249202,0,5
01-09-2025,Uttarakhand,Haridwar,247668,0,21
01-09-2025,Uttarakhand,Haridwar,249404,3,7
01-09-2025,Uttarakhand,Nainital,244715,2,21
01-09-2025,Uttarakhand,Nainital,263126,4,8
01-09-2025,Uttarakhand,Nainital,263134,0,2
01-09-2025,Uttarakhand,Pauri Garhwal,246001,1,6
01-09-2025,Uttarakhand,Pauri Garhwal,246146,0,1
01-09-2025,Uttarakhand,Pauri Garhwal,246159,0,2
01-09-2025,Uttarakhand,Pauri Garhwal,246167,0,5
01-09-2025,Uttarakhand,Pauri Garhwal,246275,0,5
01-09-2025,Uttarakhand,Pithoragarh,262532,1,2
01-09-2025,Uttarakhand,Pithoragarh,262534,0,2
01-09-2025,Uttarakhand,Pithoragarh,262547,0,2
01-09-2025,Uttarakhand,Pithoragarh,262551,0,2
01-09-2025,Uttarakhand,Pithoragarh,262552,0,4
01-09-2025,Uttarakhand,Rudraprayag,246419,0,1
01-09-2025,Uttarakhand,Tehri Garhwal,249126,0,1
01-09-2025,Uttarakhand,Tehri Garhwal,249165,5,27
01-09-2025,Uttarakhand,Tehri Garhwal,249186,0,5
01-09-2025,Uttarakhand,Udham Singh Nagar,244712,1,14
01-09-2025,Uttarakhand,Udham Singh Nagar,262308,2,36
01-09-2025,Uttarakhand,Udham Singh Nagar,263153,9,42
01-09-2025,Uttarakhand,Uttarkashi,249151,2,3
02-09-2025,Uttarakhand,Almora,263601,0,4
02-09-2025,Uttarakhand,Almora,263621,2,2
02-09-2025,Uttarakhand,Almora,263646,0,4
02-09-2025,Uttarakhand,Almora,263659,0,1
02-09-2025,Uttarakhand,Almora,263661,0,1
02-09-2025,Uttarakhand,Bageshwar,263633,0,1
02-09-2025,Uttarakhand,Bageshwar,263639,0,1
02-09-2025,Uttarakhand,Bageshwar,263679,1,2
02-09-2025,Uttarakhand,Chamoli,246428,0,14
02-09-2025,Uttarakhand,Chamoli,246443,0,6
02-09-2025,Uttarakhand,Chamoli,246449,0,1
02-09-2025,Uttarakhand,Chamoli,246455,0,1
02-09-2025,Uttarakhand,Chamoli,246481,0,3
02-09-2025,Uttarakhand,Champawat,262310,0,3
02-09-2025,Uttarakhand,Champawat,262527,0,1
02-09-2025,Uttarakhand,Champawat,262528,0,1
02-09-2025,Uttarakhand,Dehradun,248001,5,99
02-09-2025,Uttarakhand,Dehradun,248002,1,12
02-09-2025,Uttarakhand,Dehradun,248013,1,3
02-09-2025,Uttarakhand,Dehradun,248123,2,6
02-09-2025,Uttarakhand,Dehradun,248146,0,1
02-09-2025,Uttarakhand,Dehradun,248165,0,3
02-09-2025,Uttarakhand,Dehradun,248199,1,3
02-09-2025,Uttarakhand,Dehradun,248202,0,2
02-09-2025,Uttarakhand,Garhwal,246149,0,5
02-09-2025,Uttarakhand,Garhwal,246155,0,1
02-09-2025,Uttarakhand,Hardwar,247670,0,3
02-09-2025,Uttarakhand,Haridwar,247667,16,94
02-09-2025,Uttarakhand,Haridwar,247670,1,11
02-09-2025,Uttarakhand,Haridwar,249401,0,9
02-09-2025,Uttarakhand,Nainital,244715,0,26
02-09-2025,Uttarakhand,Nainital,263002,0,1
02-09-2025,Uttarakhand,Nainital,263126,0,6
02-09-2025,Uttarakhand,Nainital,263135,0,1
02-09-2025,Uttarakhand,Nainital,263141,1,0
02-09-2025,Uttarakhand,Nainital,263157,0,2
02-09-2025,Uttarakhand,Pauri Garhwal,246146,0,1
02-09-2025,Uttarakhand,Pauri Garhwal,246149,5,16
02-09-2025,Uttarakhand,Pauri Garhwal,246155,1,4
02-09-2025,Uttarakhand,Pauri Garhwal,246161,0,3
02-09-2025,Uttarakhand,Pauri Garhwal,246175,1,0
02-09-2025,Uttarakhand,Pithoragarh,262501,1,5
02-09-2025,Uttarakhand,Pithoragarh,262543,0,2
02-09-2025,Uttarakhand,Pithoragarh,262545,1,3
02-09-2025,Uttarakhand,Rudraprayag,246429,0,1
02-09-2025,Uttarakhand,Rudraprayag,246439,1,3
02-09-2025,Uttarakhand,Tehri Garhwal,249122,0,5
02-09-2025,Uttarakhand,Tehri Garhwal,249125,0,1
02-09-2025,Uttarakhand,Tehri Garhwal,249186,0,3
02-09-2025,Uttarakhand,Tehri Garhwal,249192,0,9
02-09-2025,Uttarakhand,Tehri Garhwal,249196,1,2
02-09-2025,Uttarakhand,Tehri Garhwal,249199,1,6
02-09-2025,Uttarakhand,Udham Singh Nagar,263148,6,36
02-09-2025,Uttarakhand,Udham Singh Nagar,263149,0,3
02-09-2025,Uttarakhand,Uttarkashi,249151,0,2
02-09-2025,Uttarakhand,Uttarkashi,249193,1,10
03-09-2025,Uttarakhand,Almora,263601,0,18
03-09-2025,Uttarakhand,Almora,263626,2,0
03-09-2025,Uttarakhand,Almora,263645,0,10
03-09-2025,Uttarakhand,Almora,263646,1,4
03-09-2025,Uttarakhand,Almora,263655,0,1
03-09-2025,Uttarakhand,Almora,263664,0,1
03-09-2025,Uttarakhand,Almora,263667,1,9
03-09-2025,Uttarakhand,Almora,263676,2,1
03-09-2025,Uttarakhand,Almora,263678,0,1
03-09-2025,Uttarakhand,Bageshwar,263628,1,4
03-09-2025,Uttarakhand,Bageshwar,263679,1,7
03-09-2025,Uttarakhand,Chamoli,246424,1,3
03-09-2025,Uttarakhand,Chamoli,246440,1,7
03-09-2025,Uttarakhand,Chamoli,246446,2,1
03-09-2025,Uttarakhand,Champawat,262524,5,8
03-09-2025,Uttarakhand,Dehradun,248001,8,133
03-09-2025,Uttarakhand,Dehradun,248007,2,36
03-09-2025,Uttarakhand,Dehradun,248011,3,1
03-09-2025,Uttarakhand,Dehradun,248140,1,16
03-09-2025,Uttarakhand,Dehradun,248152,0,1
03-09-2025,Uttarakhand,Dehradun,248159,0,1
03-09-2025,Uttarakhand,Dehradun,248179,0,11
03-09-2025,Uttarakhand,Dehradun,248198,0,16
03-09-2025,Uttarakhand,Dehradun,248202,0,1
03-09-2025,Uttarakhand,Garhwal,246172,0,1
03-09-2025,Uttarakhand,Hardwar,247661,0,3
03-09-2025,Uttarakhand,Hardwar,247667,0,2
03-09-2025,Uttarakhand,Haridwar,247670,1,14
03-09-2025,Uttarakhand,Haridwar,249408,1,32
03-09-2025,Uttarakhand,Nainital,263126,2,19
03-09-2025,Uttarakhand,Nainital,263140,5,6
03-09-2025,Uttarakhand,Pauri Garhwal,246121,0,10
03-09-2025,Uttarakhand,Pauri Garhwal,246130,0,4
03-09-2025,Uttarakhand,Pauri Garhwal,246144,2,3
03-09-2025,Uttarakhand,Pauri Garhwal,246279,0,3
03-09-2025,Uttarakhand,Pithoragarh,262522,2,3
03-09-2025,Uttarakhand,Pithoragarh,262542,1,4
03-09-2025,Uttarakhand,Pithoragarh,262546,0,1
03-09-2025,Uttarakhand,Pithoragarh,262547,0,1
03-09-2025,Uttarakhand,Pithoragarh,262553,0,3
03-09-2025,Uttarakhand,Pithoragarh,262554,0,3
03-09-2025,Uttarakhand,Pithoragarh,262555,0,2
03-09-2025,Uttarakhand,Rudraprayag,246419,0,1
03-09-2025,Uttarakhand,Rudraprayag,246421,0,1
03-09-2025,Uttarakhand,Rudraprayag,246448,0,1
03-09-2025,Uttarakhand,Rudraprayag,246471,0,1
03-09-2025,Uttarakhand,Tehri Garhwal,249137,0,1
03-09-2025,Uttarakhand,Tehri Garhwal,249146,1,8
03-09-2025,Uttarakhand,Tehri Garhwal,249151,0,1
03-09-2025,Uttarakhand,Tehri Garhwal,249196,1,1
03-09-2025,Uttarakhand,Udham Singh Nagar,244716,0,1
03-09-2025,Uttarakhand,Udham Singh Nagar,262308,9,60
03-09-2025,Uttarakhand,Udham Singh Nagar,263160,3,27
03-09-2025,Uttarakhand,Uttarkashi,249151,0,5
03-09-2025,Uttarakhand,Uttarkashi,249152,0,5
03-09-2025,Uttarakhand,Uttarkashi,249193,2,8
05-09-2025,Uttarakhand,Almora,263621,0,4
05-09-2025,Uttarakhand,Almora,263652,1,0
05-09-2025,Uttarakhand,Chamoli,246444,0,9
05-09-2025,Uttarakhand,Chamoli,246453,0,2
05-09-2025,Uttarakhand,Chamoli,246487,1,3
05-09-2025,Uttarakhand,Champawat,262528,1,5
05-09-2025,Uttarakhand,Champawat,262580,0,1
05-09-2025,Uttarakhand,Dehradun,248165,0,3
05-09-2025,Uttarakhand,Dehradun,248198,2,8
05-09-2025,Uttarakhand,Hardwar,247668,0,1
05-09-2025,Uttarakhand,Haridwar,246763,0,1
05-09-2025,Uttarakhand,Haridwar,247662,0,17
05-09-2025,Uttarakhand,Haridwar,247664,0,9
05-09-2025,Uttarakhand,Haridwar,247665,4,11
05-09-2025,Uttarakhand,Haridwar,249401,1,7
05-09-2025,Uttarakhand,Haridwar,249402,4,15
05-09-2025,Uttarakhand,Haridwar,249408,1,11
05-09-2025,Uttarakhand,Nainital,263126,3,5
05-09-2025,Uttarakhand,Pauri Garhwal,246129,0,1
05-09-2025,Uttarakhand,Pauri Garhwal,246162,0,2
05-09-2025,Uttarakhand,Pauri Garhwal,246174,0,2
05-09-2025,Uttarakhand,Pauri Garhwal,246177,0,1
05-09-2025,Uttarakhand,Pauri Garhwal,246278,0,1
05-09-2025,Uttarakhand,Pauri Garhwal,246279,0,2
05-09-2025,Uttarakhand,Pauri Garhwal,246285,0,4
05-09-2025,Uttarakhand,Pauri Garhwal,249306,1,0
05-09-2025,Uttarakhand,Pithoragarh,262501,1,7
05-09-2025,Uttarakhand,Pithoragarh,262521,0,4
05-09-2025,Uttarakhand,Pithoragarh,262544,1,6
05-09-2025,Uttarakhand,Pithoragarh,262552,0,4
05-09-2025,Uttarakhand,Rudraprayag,246425,0,4
05-09-2025,Uttarakhand,Tehri Garhwal,249125,0,3
05-09-2025,Uttarakhand,Tehri Garhwal,249137,0,3
05-09-2025,Uttarakhand,Tehri Garhwal,249155,6,19
05-09-2025,Uttarakhand,Udham Singh Nagar,244713,2,33
05-09-2025,Uttarakhand,Udham Singh Nagar,263148,1,22
05-09-2025,Uttarakhand,Udham Singh Nagar,263151,1,20
05-09-2025,Uttarakhand,Uttarkashi,249165,0,4
05-09-2025,Uttarakhand,Uttarkashi,249194,0,1
04-09-2025,Uttarakhand,Almora,263625,0,11
04-09-2025,Uttarakhand,Almora,263643,0,2
04-09-2025,Uttarakhand,Almora,263656,1,14
04-09-2025,Uttarakhand,Almora,263663,0,1
04-09-2025,Uttarakhand,Bageshwar,263639,1,0
04-09-2025,Uttarakhand,Bageshwar,263641,6,11
04-09-2025,Uttarakhand,Chamoli,246424,3,9
04-09-2025,Uttarakhand,Chamoli,246427,1,2
04-09-2025,Uttarakhand,Chamoli,246429,0,1
04-09-2025,Uttarakhand,Chamoli,246440,2,10
04-09-2025,Uttarakhand,Chamoli,246455,0,4
04-09-2025,Uttarakhand,Chamoli,246474,1,0
04-09-2025,Uttarakhand,Champawat,262310,1,9
04-09-2025,Uttarakhand,Champawat,262524,4,12
04-09-2025,Uttarakhand,Dehradun,248005,1,29
04-09-2025,Uttarakhand,Dehradun,248179,0,3
04-09-2025,Uttarakhand,Hardwar,247667,0,1
04-09-2025,Uttarakhand,Haridwar,246763,1,8
04-09-2025,Uttarakhand,Haridwar,247663,7,67
04-09-2025,Uttarakhand,Haridwar,247668,0,13
04-09-2025,Uttarakhand,Haridwar,249407,4,45
04-09-2025,Uttarakhand,Nainital,244713,0,3
04-09-2025,Uttarakhand,Nainital,263001,1,3
04-09-2025,Uttarakhand,Nainital,263002,1,4
04-09-2025,Uttarakhand,Nainital,263157,1,5
04-09-2025,Uttarakhand,Pauri Garhwal,246121,0,8
04-09-2025,Uttarakhand,Pauri Garhwal,246123,0,7
04-09-2025,Uttarakhand,Pauri Garhwal,246142,0,2
04-09-2025,Uttarakhand,Pauri Garhwal,246162,0,1
04-09-2025,Uttarakhand,Pauri Garhwal,246169,0,1
04-09-2025,Uttarakhand,Pauri Garhwal,246277,0,3
04-09-2025,Uttarakhand,Pithoragarh,262532,0,4
04-09-2025,Uttarakhand,Pithoragarh,262544,0,3
04-09-2025,Uttarakhand,Pithoragarh,262546,0,1
04-09-2025,Uttarakhand,Pithoragarh,262553,3,2
04-09-2025,Uttarakhand,Rudraprayag,246425,0,5
04-09-2025,Uttarakhand,Rudraprayag,246442,0,2
04-09-2025,Uttarakhand,Rudraprayag,246495,0,1
04-09-2025,Uttarakhand,Tehri Garhwal,249125,0,2
04-09-2025,Uttarakhand,Tehri Garhwal,249131,0,10
04-09-2025,Uttarakhand,Tehri Garhwal,249161,4,13
04-09-2025,Uttarakhand,Tehri Garhwal,249165,6,18
04-09-2025,Uttarakhand,Tehri Garhwal,249192,0,8
04-09-2025,Uttarakhand,Tehri Garhwal,249199,0,8
04-09-2025,Uttarakhand,Udham Singh Nagar,244716,0,1
04-09-2025,Uttarakhand,Udham Singh Nagar,263152,1,28
04-09-2025,Uttarakhand,Uttarkashi,249135,0,2
04-09-2025,Uttarakhand,Uttarkashi,249193,4,12
07-09-2025,Uttarakhand,Almora,263622,0,1
07-09-2025,Uttarakhand,Almora,263646,0,1
07-09-2025,Uttarakhand,Almora,263660,0,1
07-09-2025,Uttarakhand,Almora,263678,1,0
07-09-2025,Uttarakhand,Bageshwar,263635,0,1
07-09-2025,Uttarakhand,Champawat,262524,0,1
07-09-2025,Uttarakhand,Dehradun,248003,0,1
07-09-2025,Uttarakhand,Dehradun,248121,0,1
07-09-2025,Uttarakhand,Dehradun,248141,0,1
07-09-2025,Uttarakhand,Dehradun,248158,1,3
07-09-2025,Uttarakhand,Dehradun,249201,0,7
07-09-2025,Uttarakhand,Hardwar,247656,0,1
07-09-2025,Uttarakhand,Hardwar,247661,0,1
07-09-2025,Uttarakhand,Haridwar,247656,5,13
07-09-2025,Uttarakhand,Haridwar,247661,0,19
07-09-2025,Uttarakhand,Haridwar,247670,0,1
07-09-2025,Uttarakhand,Nainital,263135,0,1
07-09-2025,Uttarakhand,Nainital,263138,0,1
07-09-2025,Uttarakhand,Nainital,263141,1,0
07-09-2025,Uttarakhand,Nainital,263157,1,3
07-09-2025,Uttarakhand,Pauri Garhwal,246130,0,9
07-09-2025,Uttarakhand,Pauri Garhwal,246275,0,2
07-09-2025,Uttarakhand,Pauri Garhwal,249306,0,1
07-09-2025,Uttarakhand,Pithoragarh,262526,0,1
07-09-2025,Uttarakhand,Pithoragarh,262545,0,1
07-09-2025,Uttarakhand,Pithoragarh,262547,0,1
07-09-2025,Uttarakhand,Rudraprayag,246448,0,1
07-09-2025,Uttarakhand,Tehri Garhwal,249175,0,1
07-09-2025,Uttarakhand,Tehri Garhwal,249181,0,4
07-09-2025,Uttarakhand,Tehri Garhwal,249196,0,1
07-09-2025,Uttarakhand,Udham Singh Nagar,262308,1,18
07-09-2025,Uttarakhand,Udham Singh Nagar,262401,7,20
07-09-2025,Uttarakhand,Udham Singh Nagar,263145,0,5
07-09-2025,Uttarakhand,Udham Singh Nagar,263153,7,12
07-09-2025,Uttarakhand,Uttarkashi,249185,1,1
06-09-2025,Uttarakhand,Almora,263621,0,6
06-09-2025,Uttarakhand,Almora,263626,0,2
06-09-2025,Uttarakhand,Almora,263658,0,3
06-09-2025,Uttarakhand,Bageshwar,263634,0,2
06-09-2025,Uttarakhand,Bageshwar,263679,1,4
06-09-2025,Uttarakhand,Chamoli,246401,0,3
06-09-2025,Uttarakhand,Chamoli,246449,2,7
06-09-2025,Uttarakhand,Chamoli,246472,1,2
06-09-2025,Uttarakhand,Chamoli,246481,0,4
06-09-2025,Uttarakhand,Chamoli,246486,0,2
06-09-2025,Uttarakhand,Chamoli,246487,0,3
06-09-2025,Uttarakhand,Champawat,262309,2,22
06-09-2025,Uttarakhand,Champawat,262528,0,7
06-09-2025,Uttarakhand,Dehradun,248003,1,3
06-09-2025,Uttarakhand,Dehradun,248199,1,4
06-09-2025,Uttarakhand,Dehradun,249204,3,18
06-09-2025,Uttarakhand,Dehradun,249205,1,4
06-09-2025,Uttarakhand,Hardwar,247661,0,1
06-09-2025,Uttarakhand,Haridwar,247656,6,44
06-09-2025,Uttarakhand,Haridwar,247665,5,10
06-09-2025,Uttarakhand,Haridwar,247670,1,15
06-09-2025,Uttarakhand,Haridwar,247671,6,17
06-09-2025,Uttarakhand,Haridwar,249402,9,41
06-09-2025,Uttarakhand,Nainital,263126,3,21
06-09-2025,Uttarakhand,Nainital,263140,1,21
06-09-2025,Uttarakhand,Nainital,263159,2,12
06-09-2025,Uttarakhand,Pauri Garhwal,246121,0,7
06-09-2025,Uttarakhand,Pauri Garhwal,246174,2,3
06-09-2025,Uttarakhand,Pauri Garhwal,246278,3,1
06-09-2025,Uttarakhand,Pauri Garhwal,246279,0,2
06-09-2025,Uttarakhand,Pauri Garhwal,249302,0,1
06-09-2025,Uttarakhand,Pauri Garhwal,249304,0,5
06-09-2025,Uttarakhand,Pithoragarh,262501,2,14
06-09-2025,Uttarakhand,Pithoragarh,262521,1,0
06-09-2025,Uttarakhand,Pithoragarh,262543,1,3
06-09-2025,Uttarakhand,Pithoragarh,262554,1,1
06-09-2025,Uttarakhand,Rudraprayag,246419,0,4
06-09-2025,Uttarakhand,Rudraprayag,246469,0,2
06-09-2025,Uttarakhand,Rudraprayag,246475,4,11
06-09-2025,Uttarakhand,Udham Singh Nagar,262401,7,58
06-09-2025,Uttarakhand,Uttarkashi,249141,3,8
06-09-2025,Uttarakhand,Uttarkashi,249185,2,11
06-09-2025,Uttarakhand,Uttarkashi,249196,1,4
09-09-2025,Uttarakhand,Almora,244715,0,4
09-09-2025,Uttarakhand,Almora,263625,0,10
09-09-2025,Uttarakhand,Almora,263626,1,1
09-09-2025,Uttarakhand,Almora,263636,0,4
09-09-2025,Uttarakhand,Almora,263652,0,3
09-09-2025,Uttarakhand,Almora,263655,2,2
09-09-2025,Uttarakhand,Almora,263658,0,3
09-09-2025,Uttarakhand,Almora,263660,0,1
09-09-2025,Uttarakhand,Almora,263661,2,12
09-09-2025,Uttarakhand,Almora,263665,0,1
09-09-2025,Uttarakhand,Almora,263678,0,1
09-09-2025,Uttarakhand,Bageshwar,263619,0,8
09-09-2025,Uttarakhand,Bageshwar,263631,1,11
09-09-2025,Uttarakhand,Bageshwar,263640,0,4
09-09-2025,Uttarakhand,Chamoli,246486,1,7
09-09-2025,Uttarakhand,Chamoli,246487,1,2
09-09-2025,Uttarakhand,Chamoli,246488,2,1
09-09-2025,Uttarakhand,Dehradun,248001,12,173
09-09-2025,Uttarakhand,Dehradun,248011,0,1
09-09-2025,Uttarakhand,Dehradun,248124,2,7
09-09-2025,Uttarakhand,Dehradun,248125,3,17
09-09-2025,Uttarakhand,Dehradun,248145,0,3
09-09-2025,Uttarakhand,Dehradun,248179,1,7
09-09-2025,Uttarakhand,Dehradun,248198,1,21
09-09-2025,Uttarakhand,Dehradun,248202,0,1
09-09-2025,Uttarakhand,Hardwar,247664,0,2
09-09-2025,Uttarakhand,Hardwar,247668,0,1
09-09-2025,Uttarakhand,Haridwar,247664,4,22
09-09-2025,Uttarakhand,Haridwar,247665,2,20
09-09-2025,Uttarakhand,Haridwar,247667,19,120
09-09-2025,Uttarakhand,Haridwar,247670,3,13
09-09-2025,Uttarakhand,Haridwar,249402,2,60
09-09-2025,Uttarakhand,Nainital,244715,6,57
09-09-2025,Uttarakhand,Nainital,263138,1,6
09-09-2025,Uttarakhand,Nainital,263141,0,4
09-09-2025,Uttarakhand,Pauri Garhwal,246124,0,1
09-09-2025,Uttarakhand,Pauri Garhwal,246127,0,1
09-09-2025,Uttarakhand,Pauri Garhwal,246130,1,4
09-09-2025,Uttarakhand,Pauri Garhwal,246147,0,1
09-09-2025,Uttarakhand,Pauri Garhwal,246162,1,8
09-09-2025,Uttarakhand,Pauri Garhwal,246167,2,1
09-09-2025,Uttarakhand,Pauri Garhwal,246177,0,1
09-09-2025,Uttarakhand,Pauri Garhwal,246278,0,1
09-09-2025,Uttarakhand,Pauri Garhwal,249304,2,10
09-09-2025,Uttarakhand,Pithoragarh,262529,0,1
09-09-2025,Uttarakhand,Pithoragarh,262531,0,7
09-09-2025,Uttarakhand,Pithoragarh,262534,0,3
09-09-2025,Uttarakhand,Pithoragarh,262541,0,7
09-09-2025,Uttarakhand,Pithoragarh,262545,2,15
09-09-2025,Uttarakhand,Pithoragarh,262552,1,6
09-09-2025,Uttarakhand,Pithoragarh,262553,0,8
09-09-2025,Uttarakhand,Rudraprayag,246421,1,6
09-09-2025,Uttarakhand,Rudraprayag,246429,0,3
09-09-2025,Uttarakhand,Rudraprayag,246442,1,3
09-09-2025,Uttarakhand,Rudraprayag,246471,0,2
09-09-2025,Uttarakhand,Tehri Garhwal,249122,0,6
09-09-2025,Uttarakhand,Tehri Garhwal,249123,0,4
09-09-2025,Uttarakhand,Tehri Garhwal,249137,1,4
09-09-2025,Uttarakhand,Tehri Garhwal,249155,6,99
09-09-2025,Uttarakhand,Tehri Garhwal,249161,5,27
09-09-2025,Uttarakhand,Tehri Garhwal,249180,1,21
09-09-2025,Uttarakhand,Tehri Garhwal,249192,1,13
09-09-2025,Uttarakhand,Udham Singh Nagar,263152,7,36
09-09-2025,Uttarakhand,Uttarkashi,249151,0,2
09-09-2025,Uttarakhand,Uttarkashi,249152,3,7
09-09-2025,Uttarakhand,Uttarkashi,249165,2,3
08-09-2025,Uttarakhand,Almora,263621,0,9
08-09-2025,Uttarakhand,Almora,263623,2,11
08-09-2025,Uttarakhand,Almora,263643,2,2
08-09-2025,Uttarakhand,Almora,263658,0,8
08-09-2025,Uttarakhand,Almora,263667,1,2
08-09-2025,Uttarakhand,Bageshwar,263631,5,13
08-09-2025,Uttarakhand,Bageshwar,263639,1,1
08-09-2025,Uttarakhand,Bageshwar,263640,4,1
08-09-2025,Uttarakhand,Chamoli,246426,1,1
08-09-2025,Uttarakhand,Chamoli,246427,2,4
08-09-2025,Uttarakhand,Chamoli,246429,0,7
08-09-2025,Uttarakhand,Chamoli,246442,0,2
08-09-2025,Uttarakhand,Chamoli,246446,1,4
08-09-2025,Uttarakhand,Champawat,262309,0,14
08-09-2025,Uttarakhand,Champawat,262527,2,3
08-09-2025,Uttarakhand,Dehradun,248005,1,14
08-09-2025,Uttarakhand,Dehradun,248121,0,11
08-09-2025,Uttarakhand,Dehradun,248124,2,11
08-09-2025,Uttarakhand,Dehradun,248125,2,17
08-09-2025,Uttarakhand,Dehradun,248146,0,2
08-09-2025,Uttarakhand,Dehradun,248159,0,1
08-09-2025,Uttarakhand,Dehradun,248165,0,4
08-09-2025,Uttarakhand,Dehradun,248197,1,37
08-09-2025,Uttarakhand,Dehradun,248199,0,6
08-09-2025,Uttarakhand,Hardwar,249407,0,2
08-09-2025,Uttarakhand,Haridwar,247671,1,20
08-09-2025,Uttarakhand,Haridwar,249403,5,12
08-09-2025,Uttarakhand,Haridwar,249408,2,31
08-09-2025,Uttarakhand,Haridwar,249410,1,5
08-09-2025,Uttarakhand,Nainital,263002,0,9
08-09-2025,Uttarakhand,Nainital,263126,1,17
08-09-2025,Uttarakhand,Nainital,263136,5,15
08-09-2025,Uttarakhand,Nainital,263157,1,9
08-09-2025,Uttarakhand,Pauri Garhwal,246121,0,8
08-09-2025,Uttarakhand,Pauri Garhwal,246144,0,13
08-09-2025,Uttarakhand,Pauri Garhwal,246163,0,3
08-09-2025,Uttarakhand,Pauri Garhwal,246167,0,2
08-09-2025,Uttarakhand,Pauri Garhwal,246175,0,1
08-09-2025,Uttarakhand,Pauri Garhwal,246176,0,3
08-09-2025,Uttarakhand,Pauri Garhwal,246179,0,4
08-09-2025,Uttarakhand,Pauri Garhwal,246276,0,2
08-09-2025,Uttarakhand,Pauri Garhwal,246278,0,1
08-09-2025,Uttarakhand,Pauri Garhwal,249306,0,1
08-09-2025,Uttarakhand,Pithoragarh,262521,0,6
08-09-2025,Uttarakhand,Pithoragarh,262533,0,2
08-09-2025,Uttarakhand,Pithoragarh,262546,0,1
08-09-2025,Uttarakhand,Pithoragarh,262576,0,7
